id,comments,shares,posted_by,music_author,music_title,likes
7521730833691020564,4,133,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,1423
7522011516313275668,2,60,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,409
7521728960871337237,2,65,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,1355
7521728707782872340,12,135,Đại học HUTECH,Đại học HUTECH,nhạc nền - Đại học HUTECH,1384
7521730288024669461,1,5,Đại học HUTECH,übermensch,GDRAGON TAKE ME,184
7520844412973370645,32,125,Đại học HUTECH,Đại học HUTECH,original sound - Đại học HUTECH,480
7520842501553458440,4,12,Đại học HUTECH,PeriTune,Happy & Pop songs,190
7382650991939800325,1149,3821,University Students,khairuddin_Barech,original sound - ARMAN🖤,42000
7468363283519507719,1060,1999,University Students,🔥 KHAWAR 🔥,original sound,39000
7428999800932027666,802,1413,University Students,Silver Bhai,original sound,17900
7509541498082348295,112,338,University Students,🇨🇦🦁پنجابی👑👑,original sound,2950
7503969510286839048,37,55,University Students,🇨🇦🦁پنجابی👑👑,original sound,661
7483202567984401671,30,18,University Students,Akash Khan,original sound,506
7475397397695302930,23,35,University Students,OFFICIAL IJAZ SHAH 🇵🇰,original sound,573
7473923124644367624,69,122,University Students,👑مـــلنگ جــان ٹائـــپسٹ 👑,original sound,1644
7469479721198259463,48,56,University Students,Dropout Mushahid,original sound,672
7469089313645399314,37,63,University Students,🔥SaHaB🔥,original sound,662
7463159350559919367,89,127,University Students,𝙎𝙞𝙠𝙖ن𝙙𝙖𝙧 🔥,original sound,1307
7453472075953638674,19,13,University Students,BOLLYWOOD,original sound,439
7452396897467206919,23,24,University Students,Aftab🥱,original sound,390
7452043839033838855,59,97,University Students,Sunny Raj👿,original sound,1069
7451646749522873607,34,33,University Students,Sunny Raj👿,original sound,396
7448319074053950727,34,43,University Students,Sunny Raj👿,original sound,577
7446816399495908615,47,43,University Students,🔥 KHAWAR 🔥,original sound,769
7446071240755825938,19,20,University Students,🔥SaHaB🔥,original sound,283
7443852071910034706,30,40,University Students,rajaumi100,original sound,687
7442344594416766226,41,53,University Students,OFFICIAL IJAZ SHAH 🇵🇰,original sound,691
7440499623401196808,28,19,University Students,leezayyyyy🌷💌,original sound,347
7439780252202700050,42,55,University Students,₳ãiñnã,original sound,684
7437908428304944391,23,19,University Students,OFFICIAL IJAZ SHAH 🇵🇰,original sound,476
7437543211758914834,19,14,University Students,द Harkey,original sound,346
7436813215142546695,23,35,University Students,🔥SaEeN🔥,original sound,412
7435311648467914002,14,19,University Students,GOONGROO,original sound,383
7434204906266823943,10,27,University Students,OFFICIAL IJAZ SHAH 🇵🇰,original sound,437
7433077743060815122,317,434,University Students,Sunny Raj👿,original sound,7222
7432344025971150088,78,81,University Students,Bilal Khan Gondal,original sound,1256
7429766619116670226,28,48,University Students,🔥SaHaB🔥,original sound,641
7427522016233753863,27,44,University Students,OFFICIAL IJAZ SHAH 🇵🇰,original sound,757
7424557749431799048,15,18,University Students,𝐒𝐀ی𝐀𝐃🍁,SpVibes7,578
7418255988605701383,54,112,University Students,rajaumi100,original sound,1469
7416021544721190162,42,39,University Students,Hadia and Yousaf,original sound,854
7414169015888661766,20,17,University Students,👑dulhay_raja1❤,original sound,435
7410835981554814215,41,16,University Students,𝘼𝙘𝙘𝙤𝙪𝙣𝙩 𝙎𝙖𝙡𝙚 🥺,original sound,617
7522131373683985671,28,11,Mahi,Mahi,original sound,634
7521726797256412423,25,9,Mahi,Filmy Paana,original sound,410
7527693351529860360,9,11,Mahi,Aditya Rikhari,Sahiba,186
7527311081782447367,12,1,Mahi,Subodh KC,Ma Haraye,533
7526998578623958290,19,34,Mahi,SUMEE,Guras Nani Version,2881
7526935484732362002,18,26,Mahi,JK Musix,ASHAYEN,500
7526613107293179154,41,10,Mahi,Kobid Bazra & Bikesh Bazra & Deepson Putuwar,Priya Phool,1154
7526420771464334600,56,9,Mahi,Mahi,original sound,1037
7525860367780678930,9,17,Mahi,Nepali Movie Promotion,original sound,304
7525431146922937608,13,0,Mahi,ANU,FLY（正式版）,277
7525089815163833618,3,1,Mahi,borulife,original sound - borulife,132
7524719667592645896,7,5,Mahi,Mahi,original sound,118
7524665940307496199,6,2,Mahi,Neyaraf,Morning Routine,112
7524357406927932690,55,222,Mahi,PaperThinStudio,Happy Acoustic Traveling,3163
7524312860269284616,20,116,Mahi,earbrojp,Positive background music such as play and games(1251730),1766
7523982217656143111,13,9,Mahi,PaperThinStudio,Happy Acoustic Traveling,372
7523597447705234695,105,355,Mahi,prajinanax,mitho sapanaa,3496
7522860371951111442,20,7,Mahi,Mahi,original sound,113
7521780923612794119,314,4733,Mahi,Relaxing Piano Music Consort & Piano Love Songs & Relajante Música de Piano Oasis,Piano Tune,21300
7521372560890678535,38,12,Mahi,Fantomel,sunet original,846
7520997738708782343,50,6,Mahi,Mahi,original sound,655
7520644734663085319,791,1508,Mahi,Mahi,original sound,113200
7520604394996403463,33,3,Mahi,Sonu Nigam & Shreya Ghoshal & Vishal-Shekhar,"Main Agar Kahoon (From ""Om Shanti Om"")",926
7520229592230137095,68,403,Mahi,Sajjan Raj Vaidya,Aaundai chu ma maya..lina timilai,5435
